benchmark_number,name,iterations,tuples_per_cycle
0,arade4_encode,300000,0.007345395118
0,basel_temp_f_encode,300000,0.006174933798
1,basel_wind_f_encode,300000,0.006517188464
1,bird_migration_f_encode,300000,0.006439620742
2,bitcoin_f_f_encode,300000,0.006594227758
2,bitcoin_transactions_f_encode,300000,0.005811925356
3,city_temperature_f_encode,300000,0.009512936798
3,cms1_encode,300000,0.005548896975
4,cms25_encode,300000,0.006731810018
4,cms9_encode,300000,0.009249843431
5,food_prices_encode,300000,0.01008673545
5,gov10_encode,300000,0.006584783693
6,gov26_encode,300000,0.02130707205
6,gov30_encode,300000,0.02278461511
7,gov31_encode,300000,0.02491135923
7,gov40_encode,300000,0.02480291913
8,medicare1_encode,300000,0.007106646176
8,medicare9_encode,300000,0.009234056822
9,neon_air_pressure_encode,300000,0.01166823461
9,neon_bio_temp_c_encode,300000,0.009839252325
10,neon_dew_point_temp_encode,300000,0.009297864415
10,neon_pm10_dust_encode,300000,0.01199217428
11,neon_wind_dir_encode,300000,0.008207918106
11,nyc29_encode,300000,0.009256598437
12,poi_lat_encode,300000,0.005858824008
12,poi_lon_encode,300000,0.004641425436
13,ssd_hdd_benchmarks_f_encode,300000,0.008706970785
13,stocks_de_encode,300000,0.00907866059
14,stocks_uk_encode,300000,0.01010094534
14,stocks_usa_c_encode,300000,0.01244888369
15,arade4_decode,300000,0.007517252212
15,basel_temp_f_decode,300000,0.007762802971
16,basel_wind_f_decode,300000,0.007923557943
16,bird_migration_f_decode,300000,0.00950784734
17,bitcoin_f_f_decode,300000,0.007994093162
17,bitcoin_transactions_f_decode,300000,0.006796186885
18,city_temperature_f_decode,300000,0.01198448874
18,cms1_decode,300000,0.006213107243
19,cms25_decode,300000,0.006478705682
19,cms9_decode,300000,0.01506344289
20,food_prices_decode,300000,0.0164321046
20,gov10_decode,300000,0.008480885599
21,gov26_decode,300000,0.02571381349
21,gov30_decode,300000,0.02603346267
22,gov31_decode,300000,0.02656210043
22,gov40_decode,300000,0.02668456753
23,medicare1_decode,300000,0.008033587337
23,medicare9_decode,300000,0.01497632949
24,neon_air_pressure_decode,300000,0.01074748449
24,neon_bio_temp_c_decode,300000,0.01002435907
25,neon_dew_point_temp_decode,300000,0.009342290648
25,neon_pm10_dust_decode,300000,0.01068973454
26,neon_wind_dir_decode,300000,0.008666419996
26,nyc29_decode,300000,0.01253520775
27,poi_lat_decode,300000,0.007219368498
27,poi_lon_decode,300000,0.006739741275
28,ssd_hdd_benchmarks_f_decode,300000,0.01288144358
28,stocks_de_decode,300000,0.008889782491
29,stocks_uk_decode,300000,0.01468852103
29,stocks_usa_c_decode,300000,0.01134113921